epoka,strata,perplexity
1857,0.066143,1.0684
1858,0.063403,1.0655
1859,0.062715,1.0647
1860,0.063656,1.0657
1861,0.061600,1.0635
1862,0.063518,1.0656
1863,0.063447,1.0655
1864,0.060109,1.0620
1865,0.063235,1.0653
1866,0.063257,1.0653
1867,0.065958,1.0682
1868,0.061420,1.0633
1869,0.062030,1.0640
1870,0.061273,1.0632
1871,0.064331,1.0664
1872,0.062492,1.0645
1873,0.061044,1.0629
1874,0.060437,1.0623
1875,0.061956,1.0639
1876,0.061537,1.0635
1877,0.061082,1.0630
1878,0.062462,1.0645
1879,0.063260,1.0653
1880,0.062533,1.0645
1881,0.064453,1.0666
1882,0.062984,1.0650
1883,0.063907,1.0660
1884,0.063391,1.0654
1885,0.064577,1.0667
1886,0.060433,1.0623
1887,0.064399,1.0665
1888,0.063472,1.0655
1889,0.063522,1.0656
1890,0.066012,1.0682
1891,0.061867,1.0638
1892,0.066707,1.0690
1893,0.062826,1.0648
1894,0.062820,1.0648
1895,0.063798,1.0659
1896,0.064323,1.0664
1897,0.060893,1.0628
1898,0.062878,1.0649
1899,0.062591,1.0646
1900,0.063963,1.0661
1901,0.061613,1.0636
1902,0.065137,1.0673
1903,0.062332,1.0643
1904,0.062704,1.0647
1905,0.061586,1.0635
1906,0.061624,1.0636
1907,0.063842,1.0659
1908,0.063984,1.0661
1909,0.061793,1.0637
1910,0.062029,1.0640
1911,0.064792,1.0669
1912,0.063372,1.0654
1913,0.064182,1.0663
1914,0.062673,1.0647
1915,0.063170,1.0652
1916,0.062669,1.0647
1917,0.064311,1.0664
1918,0.061975,1.0639
1919,0.061647,1.0636
1920,0.062693,1.0647
1921,0.060840,1.0627
1922,0.063034,1.0651
1923,0.061103,1.0630
1924,0.063025,1.0651
1925,0.064804,1.0670
1926,0.062376,1.0644
1927,0.062530,1.0645
1928,0.068455,1.0709
1929,0.062994,1.0650
1930,0.061003,1.0629
1931,0.063937,1.0660
1932,0.062754,1.0648
1933,0.063063,1.0651
1934,0.064562,1.0667
1935,0.064102,1.0662
1936,0.062090,1.0641
1937,0.061114,1.0630
1938,0.064338,1.0665
1939,0.062449,1.0644
1940,0.063291,1.0653
1941,0.063672,1.0657
1942,0.061198,1.0631
1943,0.061495,1.0634
1944,0.061447,1.0634
1945,0.061877,1.0638
1946,0.061879,1.0638
1947,0.060939,1.0628
1948,0.063868,1.0660
1949,0.064048,1.0661
1950,0.060776,1.0627
1951,0.062472,1.0645
1952,0.064360,1.0665
1953,0.062447,1.0644
1954,0.062882,1.0649
1955,0.064794,1.0669
1956,0.062656,1.0647
1957,0.062783,1.0648
1958,0.060873,1.0628
1959,0.063796,1.0659
1960,0.062811,1.0648
1961,0.064150,1.0663
1962,0.062333,1.0643
1963,0.062318,1.0643
1964,0.065411,1.0676
1965,0.063901,1.0660
1966,0.063770,1.0658
1967,0.063062,1.0651
1968,0.063978,1.0661
1969,0.065703,1.0679
1970,0.063512,1.0656
1971,0.062805,1.0648
1972,0.062041,1.0640
1973,0.060987,1.0629
1974,0.062053,1.0640
1975,0.065603,1.0678
1976,0.060720,1.0626
1977,0.060093,1.0619
1978,0.060874,1.0628
1979,0.060997,1.0629
1980,0.060584,1.0625
1981,0.063634,1.0657
1982,0.065424,1.0676
1983,0.064510,1.0666
1984,0.064869,1.0670
1985,0.064402,1.0665
1986,0.060415,1.0623
1987,0.065064,1.0672
1988,0.063001,1.0650
1989,0.061265,1.0632
1990,0.062167,1.0641
1991,0.064666,1.0668
1992,0.062295,1.0643
1993,0.063873,1.0660
1994,0.063151,1.0652
1995,0.062515,1.0645
1996,0.062918,1.0649
1997,0.065871,1.0681
1998,0.061994,1.0640
1999,0.061803,1.0638
2000,0.062332,1.0643
2001,0.062583,1.0646
2002,0.064525,1.0667
2003,0.063602,1.0657
2004,0.064014,1.0661
2005,0.061769,1.0637
2006,0.061665,1.0636
2007,0.063474,1.0655
2008,0.061482,1.0634
2009,0.062847,1.0649
2010,0.062323,1.0643
2011,0.063398,1.0655
2012,0.063990,1.0661
2013,0.061874,1.0638
2014,0.063343,1.0654
2015,0.062904,1.0649
2016,0.061225,1.0631
2017,0.062549,1.0645
2018,0.066251,1.0685
2019,0.061489,1.0634
2020,0.062039,1.0640
2021,0.064659,1.0668
2022,0.062006,1.0640
2023,0.062991,1.0650
2024,0.062279,1.0643
2025,0.062528,1.0645
2026,0.062038,1.0640
2027,0.061935,1.0639
2028,0.060788,1.0627
2029,0.061748,1.0637
2030,0.064942,1.0671
2031,0.061466,1.0634
2032,0.060764,1.0626
2033,0.063712,1.0658
2034,0.061765,1.0637
2035,0.060779,1.0627
2036,0.064193,1.0663
2037,0.060775,1.0627
2038,0.062945,1.0650
2039,0.063716,1.0658
2040,0.063230,1.0653
2041,0.062260,1.0642
2042,0.060262,1.0621
2043,0.061627,1.0636
2044,0.064674,1.0668
2045,0.063950,1.0660
2046,0.061590,1.0635
2047,0.063122,1.0652
2048,0.064532,1.0667
2049,0.062622,1.0646
2050,0.063250,1.0653
2051,0.062867,1.0649
2052,0.066894,1.0692
2053,0.065965,1.0682
2054,0.063916,1.0660
2055,0.064243,1.0664
2056,0.066159,1.0684
2057,0.063437,1.0655
2058,0.060999,1.0629
2059,0.062897,1.0649
2060,0.060771,1.0627
2061,0.060282,1.0621
2062,0.063093,1.0651
2063,0.062714,1.0647
2064,0.065452,1.0676
2065,0.061858,1.0638
2066,0.062985,1.0650
2067,0.066972,1.0693
2068,0.060889,1.0628
2069,0.062310,1.0643
2070,0.060435,1.0623
2071,0.061600,1.0635
2072,0.060981,1.0629
2073,0.061722,1.0637
2074,0.062733,1.0647
2075,0.064055,1.0662
2076,0.062566,1.0646
2077,0.060660,1.0625
2078,0.061112,1.0630
2079,0.061572,1.0635
2080,0.061846,1.0638
2081,0.061843,1.0638
2082,0.063886,1.0660
2083,0.065098,1.0673
2084,0.061298,1.0632
2085,0.062011,1.0640
2086,0.062231,1.0642
2087,0.061807,1.0638
2088,0.064116,1.0662
2089,0.063429,1.0655
2090,0.062198,1.0642
2091,0.062957,1.0650
2092,0.060419,1.0623
2093,0.060770,1.0627
2094,0.063487,1.0655
2095,0.063855,1.0659
2096,0.064128,1.0662
2097,0.063072,1.0651
2098,0.062812,1.0648
2099,0.062184,1.0642
2100,0.061915,1.0639
2101,0.062290,1.0643
2102,0.065201,1.0674
2103,0.062470,1.0645
2104,0.063208,1.0652
2105,0.064474,1.0666
2106,0.060764,1.0626
2107,0.061393,1.0633
2108,0.064077,1.0662
2109,0.062165,1.0641
2110,0.059663,1.0615
2111,0.062965,1.0650
2112,0.061393,1.0633
2113,0.062525,1.0645
2114,0.063387,1.0654
2115,0.061099,1.0630
2116,0.062767,1.0648
2117,0.062038,1.0640
2118,0.061994,1.0640
2119,0.061585,1.0635
2120,0.060247,1.0621
2121,0.062958,1.0650
2122,0.062754,1.0648
2123,0.064407,1.0665
2124,0.062493,1.0645
2125,0.059949,1.0618
2126,0.062012,1.0640
2127,0.062336,1.0643
2128,0.062179,1.0642
2129,0.061781,1.0637
2130,0.061389,1.0633
2131,0.062145,1.0641
2132,0.062168,1.0641
2133,0.061208,1.0631
2134,0.063804,1.0659
2135,0.060704,1.0626
2136,0.060421,1.0623
2137,0.062848,1.0649
2138,0.063660,1.0657
2139,0.062727,1.0647
2140,0.064362,1.0665
2141,0.061882,1.0638
2142,0.061058,1.0630
2143,0.061671,1.0636
2144,0.063433,1.0655
2145,0.064012,1.0661
2146,0.062369,1.0644
2147,0.061924,1.0639
2148,0.063257,1.0653
2149,0.063015,1.0650
2150,0.063186,1.0652
2151,0.063210,1.0653
2152,0.061957,1.0639
2153,0.061425,1.0634
2154,0.062925,1.0649
2155,0.063301,1.0653
2156,0.062691,1.0647
2157,0.063754,1.0658
2158,0.060401,1.0623
2159,0.063174,1.0652
2160,0.060684,1.0626
2161,0.061229,1.0631
2162,0.060811,1.0627
2163,0.061110,1.0630
2164,0.061422,1.0633
2165,0.061316,1.0632
2166,0.065639,1.0678
2167,0.061446,1.0634
2168,0.064755,1.0669
2169,0.064306,1.0664
2170,0.061240,1.0632
2171,0.062629,1.0646
2172,0.060631,1.0625
2173,0.060711,1.0626
2174,0.061791,1.0637
2175,0.060461,1.0623
2176,0.063662,1.0657
2177,0.062355,1.0643
2178,0.062293,1.0643
2179,0.061657,1.0636
2180,0.061607,1.0635
2181,0.060683,1.0626
2182,0.061387,1.0633
2183,0.061728,1.0637
2184,0.061883,1.0638
2185,0.061178,1.0631
2186,0.062049,1.0640
2187,0.063814,1.0659
2188,0.060377,1.0622
2189,0.062515,1.0645
2190,0.061203,1.0631
2191,0.063415,1.0655
2192,0.063995,1.0661
2193,0.061493,1.0634
2194,0.062748,1.0648
2195,0.063818,1.0659
2196,0.063459,1.0655
2197,0.060325,1.0622
2198,0.063457,1.0655
